ARG Name	Drug Class	Resistance Mechanism	Updated Resistance Mechanism
tlrC	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
AAC(6')-IIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(2')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(2')-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(2')-Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(2')-Id	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IIIc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IIc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IIb	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IVa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-IXa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Ib/AAC(6')-Ib''	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Id	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-VIIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(3)-Xa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-29b	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-32	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-33	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-IIb	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-IIc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iad	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iae	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iai	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
VN23_18795	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-If	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ig	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ih	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ii	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ij	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ik	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ip	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iq	aminoglycoside	antibiotic inactivation	antibiotic inactivation
